playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
browntr01,2015,1,SFN,NL,13,39,1,9,3,0,0,5,1,1,3,8
broxtjo01,2015,1,MIL,NL,40,0,0,0,0,0,0,0,0,0,0,0
broxtjo01,2015,2,SLN,NL,26,0,0,0,0,0,0,0,0,0,0,0
broxtke01,2015,1,PIT,NL,7,2,3,0,0,0,0,0,1,1,0,1
bruceja01,2015,1,CIN,NL,157,580,72,131,35,4,26,87,9,5,58,145
bryankr01,2015,1,CHN,NL,151,559,87,154,31,5,26,99,13,4,77,199
buchada01,2015,1,PHI,NL,15,20,2,4,1,0,0,1,0,0,2,8
buchaja01,2015,1,HOU,AL,5,0,0,0,0,0,0,0,0,0,0,0
buchhcl01,2015,1,BOS,AL,18,6,0,0,0,0,0,0,0,0,0,2
buehrma01,2015,1,TOR,AL,32,7,0,1,0,0,0,0,0,0,1,3
bumgama01,2015,1,SFN,NL,36,77,9,19,2,0,5,9,0,0,3,27
burawda01,2015,1,NYA,AL,1,0,0,0,0,0,0,0,0,0,0,0
burawda01,2015,2,ATL,NL,12,0,0,0,0,0,0,0,0,0,0,0
burgoen02,2015,1,ARI,NL,30,0,0,0,0,0,0,0,0,0,0,0
burneaj01,2015,1,PIT,NL,26,42,1,5,0,0,1,5,0,0,0,20
burnsbi02,2015,1,OAK,AL,125,520,70,153,18,9,5,42,26,8,26,81
burriem01,2015,1,WAS,NL,5,3,2,2,0,0,0,0,0,0,2,0
buterdr01,2015,1,LAA,AL,10,21,3,4,0,0,0,0,0,1,0,2
buterdr01,2015,2,KCA,AL,45,86,6,17,3,0,1,5,0,0,6,24
butlebi03,2015,1,OAK,AL,151,538,63,135,28,1,15,65,0,0,52,101
butleed01,2015,1,COL,NL,16,23,0,1,0,0,0,0,0,0,0,13
butlejo04,2015,1,TBA,AL,88,257,30,71,12,0,8,30,5,2,16,82
buxtoby01,2015,1,MIN,AL,46,129,16,27,7,1,2,6,2,2,6,44
byrdma01,2015,1,CIN,NL,96,359,46,85,13,3,19,42,2,1,23,101
byrdma01,2015,2,SFN,NL,39,147,12,40,12,2,4,31,0,0,6,44
cabrace01,2015,1,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0
cabreas01,2015,1,TBA,AL,143,505,66,134,28,5,15,58,6,3,36,107
cabreev01,2015,1,BAL,AL,29,96,7,20,2,0,0,4,2,0,5,22
cabreme01,2015,1,CHA,AL,158,629,70,172,36,2,12,77,3,0,40,88
